id,name,url,selector,keyword
jma_eqvol,気象庁 地震・津波（Atom）,https://www.data.jma.go.jp/developer/xml/feed/eqvol.xml,,緊急地震速報|震度速報|震源・震度|地震|津波|!火山|!噴火
gh_runner_images_atom,GitHub runner-images Releases（Atom）,https://github.com/actions/runner-images/releases.atom,,
gh_runner_images_api,GitHub Releases API（JSON）,https://api.github.com/repos/actions/runner-images/releases,"tag_name,name,published_at",
gh_status_atom,GitHub Status history（Atom）,https://www.githubstatus.com/history.atom,,
egov_lawapi_v2_kw,e-Gov 法令API v2（キーワード検索/JSON）,https://laws.e-gov.go.jp/api/2/keyword?keyword=個人情報,"law_title,law_num,updated,amendment_law_title,amendment_promulgate_date,amendment_enforcement_date",

